,date,state,positive,negative,pending,hospitalizedCurrently,hospitalizedCumulative,inIcuCurrently,inIcuCumulative,onVentilatorCurrently,onVentilatorCumulative,recovered,dataQualityGrade,lastUpdateEt,dateModified,checkTimeEt,death,hospitalized,dateChecked,totalTestsViral,positiveTestsViral,negativeTestsViral,positiveCasesViral,deathConfirmed,deathProbable,totalTestEncountersViral,totalTestsPeopleViral,totalTestsAntibody,positiveTestsAntibody,negativeTestsAntibody,totalTestsPeopleAntibody,positiveTestsPeopleAntibody,negativeTestsPeopleAntibody,totalTestsPeopleAntigen,positiveTestsPeopleAntigen,totalTestsAntigen,positiveTestsAntigen,fips,positiveIncrease,negativeIncrease,total,totalTestResults,totalTestResultsIncrease,posNeg,deathIncrease,hospitalizedIncrease,hash,commercialScore,negativeRegularScore,negativeScore,positiveScore,score,grade
0,20200813,AR,51766,531714,,473.0,3566.0,,,112.0,466.0,44602.0,A,8/13/2020 14:32,2020-08-13T14:32:00Z,08/13 10:32,582.0,3566.0,2020-08-13T14:32:00Z,583480.0,,531714.0,51766,,,,,,,,,,,,,1836.0,,5,652,9257,583480,583480,9909,583480,16,94,54739fc8b8baa4e19b90a1795e15f6a550203e2e,0,0,0,0,0,
1,20200812,AR,51114,522457,,486.0,3472.0,,,113.0,455.0,42998.0,A,8/12/2020 14:40,2020-08-12T14:40:00Z,08/12 10:40,566.0,3472.0,2020-08-12T14:40:00Z,572868.0,,522457.0,51114,,,,,,,,,,,,,1836.0,,5,703,0,573571,573571,703,573571,0,71,6801c8ba2c2e59d43c8d4376c919636aa631fd4b,0,0,0,0,0,
2,20200811,AR,50411,522457,,507.0,3401.0,,,116.0,450.0,42998.0,A,8/11/2020 14:55,2020-08-11T14:55:00Z,08/11 10:55,566.0,3401.0,2020-08-11T14:55:00Z,572868.0,,522457.0,50411,,,,,,,,,,,,,1495.0,,5,383,3165,572868,572868,3548,572868,11,65,cf5746ed141a78ab545f6ff9ca828c1876b9f623,0,0,0,0,0,
3,20200810,AR,50028,519292,,508.0,3336.0,,,117.0,443.0,42130.0,A,8/10/2020 15:30,2020-08-10T15:30:00Z,08/10 11:30,555.0,3336.0,2020-08-10T15:30:00Z,569320.0,,,50028,,,,,,,,,,,,,,,5,645,4844,569320,569320,5489,569320,11,52,3da335305cc3bc47b98e6fa12f7e47e7e2b428ba,0,0,0,0,0,
4,20200809,AR,49383,514448,,497.0,3284.0,,,117.0,437.0,41452.0,A,8/9/2020 00:00,2020-08-09T00:00:00Z,08/08 20:00,544.0,3284.0,2020-08-09T00:00:00Z,563831.0,,,49383,,,,,,,,,,,,,,,5,1344,10964,563831,563831,12308,563831,23,61,e897df5b7745eb2439b13ff0c3c627a8a185a364,0,0,0,0,0,
5,20200808,AR,48039,503484,,523.0,3223.0,,,116.0,435.0,40360.0,A,8/7/2020 15:30,2020-08-07T15:30:00Z,08/07 11:30,521.0,3223.0,2020-08-07T15:30:00Z,551523.0,,,48039,,,,,,,,,,,,,,,5,0,0,551523,551523,0,551523,0,55,6f880feff40880b4cbf0ff555b5a1f7acba34544,0,0,0,0,0,
6,20200807,AR,48039,503484,,514.0,3168.0,,,111.0,429.0,40360.0,A,8/7/2020 15:30,2020-08-07T15:30:00Z,08/07 11:30,521.0,3168.0,2020-08-07T15:30:00Z,551523.0,,,48039,,,,,,,,,,,,,,,5,1011,10676,551523,551523,11687,551523,6,50,32de0188371cef9ee0cdaa0e9ea87fed3eced757,0,0,0,0,0,
7,20200806,AR,47028,492808,,514.0,3118.0,,,111.0,424.0,39555.0,A,8/6/2020 14:40,2020-08-06T14:40:00Z,08/06 10:40,515.0,3118.0,2020-08-06T14:40:00Z,539101.0,,,47028,,,,,,,,,,,,,,,5,735,4290,539836,539836,5025,539836,7,0,73a86ca553d439ac736e2121f64ccd560cb36ee7,0,0,0,0,0,
8,20200805,AR,46293,488518,,516.0,3118.0,,,106.0,424.0,38848.0,A,8/5/2020 15:00,2020-08-05T15:00:00Z,08/05 11:00,508.0,3118.0,2020-08-05T15:00:00Z,533899.0,,,46293,,,,,,,,,,,,,,,5,912,0,534811,534811,912,534811,18,64,6ac0c0eda410096780eff92141a0bcbe03b4dc9c,0,0,0,0,0,
9,20200804,AR,45381,488518,,526.0,3054.0,,,101.0,414.0,38000.0,A,8/4/2020 14:40,2020-08-04T14:40:00Z,08/04 10:40,490.0,3054.0,2020-08-04T14:40:00Z,533899.0,,,45381,,,,,,,,,,,,,,,5,784,5715,533899,533899,6499,533899,15,88,c5c0b15aa4f710ddd76dc8a9aaa8151ebcb8b01e,0,0,0,0,0,
10,20200803,AR,44597,482803,,513.0,2966.0,,,108.0,403.0,37240.0,A,8/3/2020 14:50,2020-08-03T14:50:00Z,08/03 10:50,475.0,2966.0,2020-08-03T14:50:00Z,527400.0,,,44597,,,,,,,,,,,,,,,5,1424,11395,527400,527400,12819,527400,17,72,db3839d18f6509e3156689c169bb9ff8d1755ffb,0,0,0,0,0,
11,20200802,AR,43173,471408,,499.0,2894.0,,,104.0,397.0,36034.0,A,8/1/2020 17:30,2020-08-01T17:30:00Z,08/01 13:30,458.0,2894.0,2020-08-01T17:30:00Z,514581.0,,,43173,,,,,,,,,,,,,,,5,0,0,514581,514581,0,514581,-2,42,b1055a432e7c5531e9f62a9dfe61fac6c75132fd,0,0,0,0,0,
12,20200801,AR,43173,471408,,507.0,2852.0,,,100.0,395.0,36034.0,A,8/1/2020 00:00,2020-08-01T00:00:00Z,07/31 20:00,460.0,2852.0,2020-08-01T00:00:00Z,514581.0,,,43173,,,,,,,,,,,,,,,5,662,10450,514581,514581,11112,514581,7,0,e726b9bc04cec5535512f9991e4767fa7aafd3f7,0,0,0,0,0,
13,20200731,AR,42511,460958,,507.0,2852.0,,,100.0,395.0,35413.0,A,7/31/2020 14:40,2020-07-31T14:40:00Z,07/31 10:40,453.0,2852.0,2020-07-31T14:40:00Z,502717.0,,,42511,,,,,,,,,,,,,,,5,752,0,503469,503469,752,503469,11,105,aa1b16197277b9b483c629216b8351bd11f8b9d3,0,0,0,0,0,
14,20200730,AR,41759,460958,,508.0,2747.0,,,108.0,387.0,34737.0,A,7/30/2020 14:40,2020-07-30T14:40:00Z,07/30 10:40,442.0,2747.0,2020-07-30T14:40:00Z,502717.0,,,41759,,,,,,,,,,,,,,,5,791,6321,502717,502717,7112,502717,8,0,05d4a3b1b0ee6b75d1ad3ab83fcfcc78160b77e5,0,0,0,0,0,
15,20200729,AR,40968,454637,,508.0,2747.0,,,108.0,387.0,33938.0,A,7/29/2020 14:40,2020-07-29T14:40:00Z,07/29 10:40,434.0,2747.0,2020-07-29T14:40:00Z,495605.0,,,40968,,,,,,,,,,,,,,,5,787,4912,495605,495605,5699,495605,6,61,96b4f7bf5d0e986984903cb2657d46ba3920eb03,0,0,0,0,0,
16,20200728,AR,40181,449725,,501.0,2686.0,,,110.0,377.0,33188.0,A,7/28/2020 14:40,2020-07-28T14:40:00Z,07/28 10:40,428.0,2686.0,2020-07-28T14:40:00Z,489906.0,,,40181,,,,,,,,,,,,,,,5,734,4281,489906,489906,5015,489906,20,62,5b92ec2a7885c576883a1f65ef33185fc0699d14,0,0,0,0,0,
17,20200727,AR,39447,445444,,489.0,2624.0,,,110.0,369.0,32365.0,A,7/27/2020 14:40,2020-07-27T14:40:00Z,07/27 10:40,408.0,2624.0,2020-07-27T14:40:00Z,484891.0,,,39447,,,,,,,,,,,,,,,5,824,6800,484891,484891,7624,484891,7,82,1706b01e5b57b84b458de7c4b1c110b56e0907cc,0,0,0,0,0,
18,20200726,AR,38623,438644,,479.0,2542.0,,,105.0,358.0,31622.0,A+,7/26/2020 00:00,2020-07-26T00:00:00Z,07/25 20:00,401.0,2542.0,2020-07-26T00:00:00Z,477267.0,,,38623,,,,,,,,,,,,,,,5,1374,14429,477267,477267,15803,477267,7,181,8d15f8cc9bd8623552aee1c9578c1432eac9c395,0,0,0,0,0,
19,20200725,AR,37249,424215,,497.0,2361.0,,,109.0,329.0,29827.0,A+,7/25/2020 00:00,2020-07-25T00:00:00Z,07/24 20:00,394.0,2361.0,2020-07-25T00:00:00Z,461464.0,,,37249,,,,,,,,,,,,,,,5,0,0,461464,461464,0,461464,0,0,58fd2b05a81c3092420d7ff203b55a65ea7de033,0,0,0,0,0,
20,20200724,AR,37249,424215,,497.0,2361.0,,,109.0,329.0,29827.0,A+,7/24/2020 14:46,2020-07-24T14:46:00Z,07/24 10:46,394.0,2361.0,2020-07-24T14:46:00Z,461464.0,,,37249,,,,,,,,,,,,,,,5,990,13994,461464,461464,14984,461464,8,0,7215a83c4d2e1e3806899d66315827f8f7829b5c,0,0,0,0,0,
21,20200723,AR,36259,410221,,480.0,2361.0,,,107.0,329.0,28864.0,A+,7/23/2020 14:46,2020-07-23T14:46:00Z,07/23 10:46,386.0,2361.0,2020-07-23T14:46:00Z,445467.0,,,36259,,,,,,,,,,,,,,,5,1013,5241,446480,446480,6254,446480,6,44,63b990933ee63b91f0ab85574fc3ffcc15c0b610,0,0,0,0,0,
22,20200722,AR,35246,404980,,474.0,2317.0,,,107.0,323.0,27990.0,A+,7/22/2020 14:36,2020-07-22T14:36:00Z,07/22 10:36,380.0,2317.0,2020-07-22T14:36:00Z,439635.0,,,35246,,,,,,,,,,,,,,,5,591,0,440226,440226,591,440226,6,60,fc22b035d18adc625110223ac8ba9ff2b6e6b887,0,0,0,0,0,
23,20200721,AR,34655,404980,,488.0,2257.0,,,111.0,316.0,27283.0,A+,7/21/2020 14:36,2020-07-21T14:36:00Z,07/21 10:36,374.0,2257.0,2020-07-21T14:36:00Z,439635.0,,,34655,,,,,,,,,,,,,,,5,728,6091,439635,439635,6819,439635,17,55,a0b5441d7a387803cbd0ef630845d40ed102874b,0,0,0,0,0,
24,20200720,AR,33927,398889,,471.0,2202.0,,,111.0,309.0,26397.0,A+,7/20/2020 14:36,2020-07-20T14:36:00Z,07/20 10:36,357.0,2202.0,2020-07-20T14:36:00Z,432816.0,,,33927,,,,,,,,,,,,,,,5,1394,12251,432816,432816,13645,432816,0,25,2ad87aa5313a9d9191431876c6178e0a2879f0f0,0,0,0,0,0,
25,20200719,AR,32533,386638,,453.0,2177.0,,,97.0,307.0,25292.0,A+,7/18/2020 21:26,2020-07-18T21:26:00Z,07/18 17:26,357.0,2177.0,2020-07-18T21:26:00Z,419171.0,,,32533,,,,,,,,,,,,,,,5,771,5395,419171,419171,6166,419171,4,42,377bdc2f77c258fa7b32336ee4dcadb56e183d35,0,0,0,0,0,
26,20200718,AR,31762,381243,,464.0,2135.0,,,97.0,304.0,24776.0,A+,7/17/2020 19:56,2020-07-17T19:56:00Z,07/17 15:56,353.0,2135.0,2020-07-17T19:56:00Z,413005.0,,,31762,,,,,,,,,,,,,,,5,0,5508,413005,413005,5508,413005,0,65,65312db59f617fc6c4c618037e5d76beb799e5cb,0,0,0,0,0,
27,20200717,AR,31762,375735,,464.0,2070.0,,,97.0,298.0,24776.0,A,7/17/2020 14:36,2020-07-17T14:36:00Z,07/17 10:36,353.0,2070.0,2020-07-17T14:36:00Z,406849.0,,,31762,,,,,,,,,,,,,,,5,648,5888,407497,407497,6536,407497,12,76,20eb934f65eb18a869d5fc0f3b11543a0f300c5b,0,0,0,0,0,
28,20200716,AR,31114,369847,,470.0,1994.0,,,101.0,286.0,24195.0,A,7/16/2020 14:36,2020-07-16T14:36:00Z,07/16 10:36,341.0,1994.0,2020-07-16T14:36:00Z,400144.0,,,31114,,,,,,,,,,,,,,,5,817,4368,400961,400961,5185,400961,6,46,5904601807617ea32b6fd65d30bd760bfe44d9b7,0,0,0,0,0,
29,20200715,AR,30297,365479,,458.0,1948.0,,,94.0,279.0,23523.0,A,7/15/2020 14:36,2020-07-15T14:36:00Z,07/15 10:36,335.0,1948.0,2020-07-15T14:36:00Z,395212.0,,,30297,,,,,,,,,,,,,,,5,564,4913,395776,395776,5477,395776,4,76,70601f88af2335833046b61d6056186656362145,0,0,0,0,0,
30,20200714,AR,29733,360566,,445.0,1872.0,,,91.0,273.0,22844.0,A,7/14/2020 15:43,2020-07-14T15:43:00Z,07/14 11:43,331.0,1872.0,2020-07-14T15:43:00Z,389505.0,,,29733,,,,,,,,,,,,,,,5,794,6531,390299,390299,7325,390299,8,36,56adf9b74e52912779c4e8f78d5275e582cb28d7,0,0,0,0,0,
31,20200713,AR,28939,354035,,439.0,1836.0,,,89.0,269.0,22106.0,A,7/13/2020 14:36,2020-07-13T14:36:00Z,07/13 10:36,323.0,1836.0,2020-07-13T14:36:00Z,382402.0,,,28939,,,,,,,,,,,,,,,5,572,0,382974,382974,572,382974,2,14,cf0aa39b90f691fde415566111704050a792c40c,0,0,0,0,0,
32,20200712,AR,28367,354035,,412.0,1822.0,,,84.0,266.0,21591.0,A,7/12/2020 00:00,2020-07-12T00:00:00Z,07/11 20:00,321.0,1822.0,2020-07-12T00:00:00Z,382402.0,,,28367,,,,,,,,,,,,,,,5,1564,11189,382402,382402,12753,382402,8,42,7fc8e1be8614a6521439d05047ec342716fc5d89,0,0,0,0,0,
33,20200711,AR,26803,342846,,402.0,1780.0,,,84.0,265.0,20642.0,A,7/10/2020 19:46,2020-07-10T19:46:00Z,07/10 15:46,313.0,1780.0,2020-07-10T19:46:00Z,369649.0,,,26803,,,,,,,,,,,,,,,5,0,4237,369649,369649,4237,369649,0,37,9518072ad20cf89f3c7e5c9338e949a19a3e2fe2,0,0,0,0,0,
34,20200710,AR,26803,338609,,402.0,1743.0,,,84.0,260.0,20642.0,A,7/10/2020 14:46,2020-07-10T14:46:00Z,07/10 10:46,313.0,1743.0,2020-07-10T14:46:00Z,364661.0,,,26803,,,,,,,,,,,,,,,5,751,0,365412,365412,751,365412,4,38,f58bc7350145aca7fcb65753c81c7cda21ec1692,0,0,0,0,0,
35,20200709,AR,26052,338609,,394.0,1705.0,,,82.0,284.0,19992.0,A,7/9/2020 16:36,2020-07-09T16:36:00Z,07/09 12:36,309.0,1705.0,2020-07-09T16:36:00Z,364661.0,,,26052,,,,,,,,,,,,,,,5,1540,9849,364661,364661,11389,364661,8,50,f6dabb05bc879ac8adaced514465d6f142bb333b,0,0,0,0,0,
36,20200708,AR,24512,328760,,358.0,1655.0,,,89.0,254.0,18725.0,A,7/8/2020 14:46,2020-07-08T14:46:00Z,07/08 10:46,301.0,1655.0,2020-07-08T14:46:00Z,353272.0,,,24512,,,,,,,,,,,,,,,5,0,2617,353272,353272,2617,353272,9,51,74d3f7d46391ca20e13686beeb5dc044f7c47adc,0,0,0,0,0,
37,20200707,AR,24512,326143,,369.0,1604.0,,,81.0,247.0,17834.0,A,7/7/2020 16:18,2020-07-07T16:18:00Z,07/07 12:18,292.0,1604.0,2020-07-07T16:18:00Z,350396.0,,,24512,,,,,,,,,,,,,,,5,259,5428,350655,350655,5687,350655,0,29,ed54fe6c466a4114004a1fd8653757e914e6f438,0,0,0,0,0,
38,20200706,AR,24253,320715,,337.0,1575.0,,,81.0,245.0,17834.0,A,7/6/2020 15:02,2020-07-06T15:02:00Z,07/06 11:02,292.0,1575.0,2020-07-06T15:02:00Z,344529.0,,,24253,,,,,,,,,,,,,,,5,1044,5031,344968,344968,6075,344968,6,39,0031cbd3451d8852fc14af7d34f8deb8ce64db12,0,0,0,0,0,
39,20200705,AR,23209,315684,,285.0,1536.0,,,70.0,240.0,16726.0,A,7/5/2020 00:00,2020-07-05T00:00:00Z,07/04 20:00,286.0,1536.0,2020-07-05T00:00:00Z,338893.0,,,23209,,,,,,,,,,,,,,,5,0,0,338893,338893,0,338893,0,0,0567c9157d388b5892a361211c92554455523896,0,0,0,0,0,
40,20200704,AR,23209,315684,,285.0,1536.0,,,70.0,240.0,16726.0,A,7/4/2020 00:00,2020-07-04T00:00:00Z,07/03 20:00,286.0,1536.0,2020-07-04T00:00:00Z,338893.0,,,23209,,,,,,,,,,,,,,,5,587,7069,338893,338893,7656,338893,5,19,934ba1a3ef100ab32e5d379c0eed8fe50906e133,0,0,0,0,0,
41,20200703,AR,22622,308615,,285.0,1517.0,,,70.0,236.0,16164.0,A,7/3/2020 15:16,2020-07-03T15:16:00Z,07/03 11:16,281.0,1517.0,2020-07-03T15:16:00Z,,,,22622,,,,331237.0,,,,,,,,,,,5,547,6703,331237,331237,7250,331237,2,40,23ac86c338c818cf26afb965f0b00ecce3941166,0,0,0,0,0,
42,20200702,AR,22075,301912,,272.0,1477.0,,,72.0,231.0,15698.0,A,7/2/2020 14:46,2020-07-02T14:46:00Z,07/02 10:46,279.0,1477.0,2020-07-02T14:46:00Z,,,,22075,,,,323987.0,,,,,,,,,,,5,878,8251,323987,323987,9129,323987,2,29,f94ea4ab00ff2fb7baf2f63d9dbcee436dded0e5,0,0,0,0,0,
43,20200701,AR,21197,293661,,275.0,1448.0,,,72.0,224.0,15163.0,A,7/1/2020 14:36,2020-07-01T14:36:00Z,07/01 10:36,277.0,1448.0,2020-07-01T14:36:00Z,,,,21197,,,,314858.0,,,,,,,,,,,5,420,3235,314858,314858,3655,314858,7,35,816089c609944bc0d97f8cbf2ccdab7ac2559997,0,0,0,0,0,
44,20200630,AR,20777,290426,,290.0,1413.0,,,67.0,220.0,14531.0,A,6/30/2020 15:16,2020-06-30T15:16:00Z,06/30 11:16,270.0,1413.0,2020-06-30T15:16:00Z,,,,20777,,,,311203.0,,,,,,,,,,,5,520,8147,311203,311203,8667,311203,5,33,db09a95fc0ca68b43b020678574ff4110edd1e24,0,0,0,0,0,
45,20200629,AR,20257,282279,,300.0,1380.0,,,63.0,211.0,14066.0,A,6/29/2020 14:36,2020-06-29T14:36:00Z,06/29 10:36,265.0,1380.0,2020-06-29T14:36:00Z,,,,20257,,,,302536.0,,,,,,,,,,,5,947,10367,302536,302536,11314,302536,6,7,06507f4a83fa6e8f0e56530ed89b32525880abb9,0,0,0,0,0,
46,20200628,AR,19310,271912,,278.0,1373.0,,,63.0,210.0,13270.0,A,6/27/2020 19:00,2020-06-27T19:00:00Z,06/27 15:00,259.0,1373.0,2020-06-27T19:00:00Z,,,,19310,,,,291222.0,,,,,,,,,,,5,570,6687,291222,291222,7257,291222,10,36,a9014018c3e659d59f256788353edf76f2d91fbb,0,0,0,0,0,
47,20200627,AR,18740,265225,,284.0,1337.0,,,63.0,206.0,12784.0,A,6/26/2020 14:40,2020-06-26T14:40:00Z,06/26 10:40,249.0,1337.0,2020-06-26T14:40:00Z,,,,18740,,,,283965.0,,,,,,,,,,,5,678,5907,283965,283965,6585,283965,9,37,c772e0c6fed1b20b66347fd872b65fa9d6d597f6,0,0,0,0,0,
48,20200626,AR,18062,259318,,284.0,1300.0,,,61.0,203.0,12127.0,A,6/26/2020 14:40,2020-06-26T14:40:00Z,06/26 10:40,240.0,1300.0,2020-06-26T14:40:00Z,,,,18740,,,,277380.0,,,,,,,,,,,5,0,0,277380,277380,0,277380,0,55,6919633d63695f79d3f3f79ce1d4599922f581a7,0,0,0,0,0,
49,20200625,AR,18062,259318,,284.0,1245.0,,,61.0,194.0,12127.0,A,6/25/2020 15:20,2020-06-25T15:20:00Z,06/25 11:20,240.0,1245.0,2020-06-25T15:20:00Z,,,,18062,,,,277380.0,,,,,,,,,,,5,687,4827,277380,277380,5514,277380,0,31,6a4edb3b1fe044856bce972fc2aab257013ca943,0,0,0,0,0,
50,20200624,AR,17375,254491,,267.0,1214.0,,,58.0,189.0,11568.0,B,6/24/2020 15:38,2020-06-24T15:38:00Z,06/24 11:38,240.0,1214.0,2020-06-24T15:38:00Z,,,,17375,,,,271866.0,,,,,,,,,,,5,697,6677,271866,271866,7374,271866,3,26,ae2c8b89da0a58581b44fdb9125e1e0f99b8c6c8,0,0,0,0,0,
51,20200623,AR,16678,247814,,248.0,1188.0,,,57.0,186.0,11220.0,A,6/23/2020 14:50,2020-06-23T14:50:00Z,06/23 10:50,237.0,1188.0,2020-06-23T14:50:00Z,,,,16678,,,,264492.0,,,,,,,,,,,5,595,7558,264492,264492,8153,264492,10,24,662a2dc89480bb928dc6256e459095c439f6fc8c,0,0,0,0,0,
52,20200622,AR,16083,240256,,237.0,1164.0,,,61.0,186.0,10793.0,A,6/22/2020 14:50,2020-06-22T14:50:00Z,06/22 10:50,227.0,1164.0,2020-06-22T14:50:00Z,,,,16083,,,,256339.0,,,,,,,,,,,5,941,13164,256339,256339,14105,256339,3,12,81497c2a067679ba1820225fb2be7defe3f249f4,0,0,0,0,0,
53,20200621,AR,15142,227092,,240.0,1152.0,,,59.0,184.0,10082.0,A,6/20/2020 19:40,2020-06-20T19:40:00Z,06/20 15:40,224.0,1152.0,2020-06-20T19:40:00Z,,,,15142,,,,242234.0,,,,,,,,,,,5,0,0,242234,242234,0,242234,0,52,3a9f985c00fab8cc1aa8b582e62d5569c43cd7b0,0,0,0,0,0,
54,20200620,AR,15142,227092,,224.0,1100.0,,,53.0,175.0,10082.0,B,6/20/2020 00:00,2020-06-20T00:00:00Z,06/19 20:00,224.0,1100.0,2020-06-20T00:00:00Z,,,,15142,,,,242234.0,,,,,,,,,,,5,511,6951,242234,242234,7462,242234,10,0,15dda6853c746ce5f3921c4e1f6c22056233507a,0,0,0,0,0,
55,20200619,AR,14631,220141,,224.0,1100.0,,,53.0,175.0,9712.0,B,6/19/2020 15:40,2020-06-19T15:40:00Z,06/19 11:40,214.0,1100.0,2020-06-19T15:40:00Z,,,,14631,,,,234772.0,,,,,,,,,,,5,703,5635,234772,234772,6338,234772,6,26,7e277fbeba8050d47ac48e701bd67b5390fa9288,0,0,0,0,0,
56,20200618,AR,13928,214506,,226.0,1074.0,,,53.0,173.0,9376.0,B,6/18/2020 15:10,2020-06-18T15:10:00Z,06/18 11:10,208.0,1074.0,2020-06-18T15:10:00Z,,,,13928,,,,228434.0,,,,,,,,,,,5,322,7413,228434,228434,7735,228434,11,22,a25910122ebb4f17019767763ac628d203e2278b,0,0,0,0,0,
57,20200617,AR,13606,207093,,217.0,1052.0,,,53.0,168.0,8996.0,A,6/17/2020 15:10,2020-06-17T15:10:00Z,06/17 11:10,197.0,1052.0,2020-06-17T15:10:00Z,,,,13606,,,,220699.0,,,,,,,,,,,5,415,14718,220699,220699,15133,220699,15,26,96ae922a843942af595c5a6538b8925366dc4860,0,0,0,0,0,
58,20200616,AR,13191,192375,,214.0,1026.0,,,45.0,165.0,8352.0,A,6/16/2020 15:10,2020-06-16T15:10:00Z,06/16 11:10,182.0,1026.0,2020-06-16T15:10:00Z,,,,13191,,,,205292.0,,,,,,,,,,,5,274,1154,205566,205566,1428,205566,0,23,ecd0ef5912bc2e38af4a0840e3be0a7df109e6b0,0,0,0,0,0,
59,20200615,AR,12917,191221,,206.0,1003.0,,,45.0,163.0,8352.0,B,6/15/2020 00:00,2020-06-15T00:00:00Z,06/14 20:00,182.0,1003.0,2020-06-15T00:00:00Z,,,,12917,,,,204052.0,,,,,,,,,,,5,416,6733,204138,204138,7149,204138,3,5,82a2da0368abf7ebd0062d5394588f3b2685c9a5,0,0,0,0,0,
60,20200614,AR,12501,184488,,204.0,998.0,,,46.0,162.0,8110.0,A,6/14/2020 00:00,2020-06-14T00:00:00Z,06/13 20:00,179.0,998.0,2020-06-14T00:00:00Z,,,,12501,,,,196989.0,,,,,,,,,,,5,954,9018,196989,196989,9972,196989,3,19,ec9a3ad450d2566febfb3b7f2d9dd94c3854cc2c,0,0,0,0,0,
