,date,state,positive,negative,pending,hospitalizedCurrently,hospitalizedCumulative,inIcuCurrently,inIcuCumulative,onVentilatorCurrently,onVentilatorCumulative,recovered,dataQualityGrade,lastUpdateEt,dateModified,checkTimeEt,death,hospitalized,dateChecked,totalTestsViral,positiveTestsViral,negativeTestsViral,positiveCasesViral,deathConfirmed,deathProbable,totalTestEncountersViral,totalTestsPeopleViral,totalTestsAntibody,positiveTestsAntibody,negativeTestsAntibody,totalTestsPeopleAntibody,positiveTestsPeopleAntibody,negativeTestsPeopleAntibody,totalTestsPeopleAntigen,positiveTestsPeopleAntigen,totalTestsAntigen,positiveTestsAntigen,fips,positiveIncrease,negativeIncrease,total,totalTestResults,totalTestResultsIncrease,posNeg,deathIncrease,hospitalizedIncrease,hash,commercialScore,negativeRegularScore,negativeScore,positiveScore,score,grade
0,20200814,KY,38298,662344,,656.0,4158.0,147.0,1296.0,,,9021.0,B,8/14/2020 00:00,2020-08-14T00:00:00Z,08/13 20:00,804.0,4158.0,2020-08-14T00:00:00Z,697909,,,35565.0,799.0,5.0,,,44926.0,,,,,,,,665.0,,21,612,12410,700642,700642,13022,700642,8,42,cc4f462abcc8742b0af3e64a8b655d0ccb5b939e,0,0,0,0,0,
1,20200813,KY,37686,649934,,658.0,4116.0,140.0,1291.0,,,8965.0,B,8/13/2020 00:00,2020-08-13T00:00:00Z,08/12 20:00,796.0,4116.0,2020-08-13T00:00:00Z,684970,,,35036.0,791.0,5.0,,,44808.0,,,,,,,,584.0,,21,741,12104,687620,687620,12845,687620,6,25,d6ea3a9e0d0aa04785103f57d5010578df4073eb,0,0,0,0,0,
2,20200812,KY,36945,637830,,683.0,4091.0,143.0,1279.0,,,8893.0,B,8/12/2020 00:00,2020-08-12T00:00:00Z,08/11 20:00,790.0,4091.0,2020-08-12T00:00:00Z,672245,,,34415.0,785.0,5.0,,,44569.0,,,,,,,,556.0,,21,1152,5268,674775,674775,6420,674775,7,28,6db280417d496d52fab9ca705d9c05302897da34,0,0,0,0,0,
3,20200811,KY,35793,632562,,667.0,4063.0,148.0,1270.0,,,8819.0,B,8/11/2020 00:00,2020-08-11T00:00:00Z,08/10 20:00,783.0,4063.0,2020-08-11T00:00:00Z,665941,,,33379.0,778.0,5.0,,,44520.0,,,,,,,,556.0,,21,539,10009,668355,668355,10548,668355,8,39,b303ddaddb633eb01d7535ca3dccf2eba9b3be97,0,0,0,0,0,
4,20200810,KY,35254,622553,,641.0,4024.0,155.0,1267.0,,,8738.0,B,8/10/2020 00:00,2020-08-10T00:00:00Z,08/09 20:00,775.0,4024.0,2020-08-10T00:00:00Z,655494,,,32941.0,770.0,5.0,,,44407.0,,,,,,,,516.0,,21,272,8696,657807,657807,8968,657807,2,22,78d476b257c8eafe612e524697080a2d691a6e5c,0,0,0,0,0,
5,20200809,KY,34982,613857,,653.0,4002.0,149.0,1258.0,,,8674.0,B,8/9/2020 00:00,2020-08-09T00:00:00Z,08/08 20:00,773.0,4002.0,2020-08-09T00:00:00Z,646187,,,32713.0,768.0,5.0,,,44296.0,,,,,,,,459.0,,21,404,0,648839,648839,404,648839,1,0,d9d268113b86f02094e004403c4549ab114c8eb4,0,0,0,0,0,
6,20200808,KY,34578,613857,,653.0,4002.0,149.0,1258.0,,,8674.0,B,8/8/2020 00:00,2020-08-08T00:00:00Z,08/07 20:00,772.0,4002.0,2020-08-08T00:00:00Z,646187,,,32330.0,767.0,5.0,,,44296.0,,,,,,,,459.0,,21,782,5659,648435,648435,6441,648435,8,27,5f250fef96c784c0e7f08022d23b81547b0a094b,0,0,0,0,0,
7,20200807,KY,33796,608198,,717.0,3975.0,136.0,1254.0,,,8589.0,B,8/7/2020 00:00,2020-08-07T00:00:00Z,08/06 20:00,764.0,3975.0,2020-08-07T00:00:00Z,639833,,,31635.0,760.0,4.0,,,44093.0,,,,,,,,430.0,,21,542,9008,641994,641994,9550,641994,4,51,c99f9f22d8606d630f0ae1b1bd777d0fc9b1d91c,0,0,0,0,0,
8,20200806,KY,33254,599190,,701.0,3924.0,140.0,1248.0,,,8523.0,B,8/6/2020 00:00,2020-08-06T00:00:00Z,08/05 20:00,760.0,3924.0,2020-08-06T00:00:00Z,630336,,,31146.0,756.0,4.0,,,44033.0,,,,,,,,387.0,,21,513,11109,632444,632444,11622,632444,8,21,d6389fa217f9e93664b92c1fd385fac9b3482e22,0,0,0,0,0,
9,20200805,KY,32741,588081,,620.0,3903.0,131.0,1239.0,,,8467.0,B,8/5/2020 00:00,2020-08-05T00:00:00Z,08/04 20:00,752.0,3903.0,2020-08-05T00:00:00Z,618793,,,30712.0,748.0,4.0,,,43944.0,,,,,,,,363.0,,21,544,12423,620822,620822,12967,620822,1,52,afee50fdd2857d52b114f3d42c9846f935ba4c08,0,0,0,0,0,
10,20200804,KY,32197,575658,,638.0,3851.0,135.0,1232.0,,,8406.0,B,8/4/2020 00:00,2020-08-04T00:00:00Z,08/03 20:00,751.0,3851.0,2020-08-04T00:00:00Z,605896,,,30238.0,747.0,4.0,,,43924.0,,,,,,,,273.0,,21,689,6873,607855,607855,7562,607855,7,36,0ce1fd3057e7b26b1e8bc3d59400b158a20934c4,0,0,0,0,0,
11,20200803,KY,31508,568785,,612.0,3815.0,136.0,1212.0,,,8335.0,B,8/3/2020 00:00,2020-08-03T00:00:00Z,08/02 20:00,744.0,3815.0,2020-08-03T00:00:00Z,598408,,,29623.0,740.0,4.0,,,43896.0,,,,,,,,273.0,,21,323,2834,600293,600293,3157,600293,2,33,e86e24a0ae08b25125bfaf9b0783814e92e69149,0,0,0,0,0,
12,20200802,KY,31185,565951,,602.0,3782.0,128.0,1207.0,,,8135.0,B,8/2/2020 00:00,2020-08-02T00:00:00Z,08/01 20:00,742.0,3782.0,2020-08-02T00:00:00Z,594873,,,29346.0,738.0,4.0,,,43626.0,,,,,,,,273.0,,21,462,0,597136,597136,462,597136,2,0,800713679da4dc80bffbb1c09a804357340eab8a,0,0,0,0,0,
13,20200801,KY,30723,565951,,602.0,3782.0,128.0,1207.0,,,8135.0,B,8/1/2020 00:00,2020-08-01T00:00:00Z,07/31 20:00,740.0,3782.0,2020-08-01T00:00:00Z,594873,,,28922.0,736.0,4.0,,,43626.0,,,,,,,,273.0,,21,572,8279,596674,596674,8851,596674,5,468,12ecf8f01a46b1fdec29251681e6058ce0552a2c,0,0,0,0,0,
14,20200731,KY,30151,557672,,597.0,3314.0,150.0,1133.0,,,7481.0,B,7/31/2020 00:00,2020-07-31T00:00:00Z,07/30 20:00,735.0,3314.0,2020-07-31T00:00:00Z,586076,,,28404.0,731.0,4.0,,,43408.0,,,,,,,,222.0,,21,765,7752,587823,587823,8517,587823,4,10,acd8207c695e5f6e504bd4ce1bd2d659d52cb8e5,0,0,0,0,0,
15,20200730,KY,29386,549920,,587.0,3304.0,110.0,1133.0,,,7590.0,B,7/30/2020 00:00,2020-07-30T00:00:00Z,07/29 20:00,731.0,3304.0,2020-07-30T00:00:00Z,577636,,,27716.0,727.0,4.0,,,43348.0,,,,,,,,222.0,,21,659,10306,579306,579306,10965,579306,7,23,59c6c8db5bc5face48ec28ccf8a53d7dd3a36f00,0,0,0,0,0,
16,20200729,KY,28727,539614,,571.0,3281.0,112.0,1133.0,,,7495.0,B,7/29/2020 00:00,2020-07-29T00:00:00Z,07/28 20:00,724.0,3281.0,2020-07-29T00:00:00Z,566787,,,27173.0,720.0,4.0,,,42980.0,,,,,,,,222.0,,21,601,10027,568341,568341,10628,568341,5,2,29dc8fd390b8f8130dd1268bc6d03b5c8b7ed1ab,0,0,0,0,0,
17,20200728,KY,28126,529587,,584.0,3279.0,115.0,1132.0,,,7470.0,B,7/28/2020 00:00,2020-07-28T00:00:00Z,07/27 20:00,719.0,3279.0,2020-07-28T00:00:00Z,556243,,,26656.0,715.0,4.0,,,42814.0,,,,,,,,,,21,525,9738,557713,557713,10263,557713,10,3,f8b909a58bb4bfac2a77182be6574963f37951a7,0,0,0,0,0,
18,20200727,KY,27601,519849,,609.0,3276.0,131.0,1129.0,,,7466.0,B,7/27/2020 00:00,2020-07-27T00:00:00Z,07/26 20:00,709.0,3276.0,2020-07-27T00:00:00Z,546058,,,26209.0,705.0,4.0,,,42699.0,,,,,,,,,,21,522,5030,547450,547450,5552,547450,9,10,bd841bb01809daa21324ff43ac64db867bb412be,0,0,0,0,0,
19,20200726,KY,27079,514819,,595.0,3266.0,132.0,1126.0,,,7421.0,B,7/26/2020 00:00,2020-07-26T00:00:00Z,07/25 20:00,700.0,3266.0,2020-07-26T00:00:00Z,540209,,,25699.0,696.0,4.0,,,42175.0,,,,,,,,,,21,315,0,541898,541898,315,541898,4,0,8cbf947b2bbe19ebf6bdb256ab7e92066fc1e795,0,0,0,0,0,
20,20200725,KY,26764,514819,,595.0,3266.0,132.0,1126.0,,,7421.0,B,7/25/2020 00:00,2020-07-25T00:00:00Z,07/24 20:00,696.0,3266.0,2020-07-25T00:00:00Z,540209,,,25390.0,692.0,4.0,,,42175.0,,,,,,,,,,21,833,7274,541583,541583,8107,541583,5,18,0cf6c124dcb6ffc975a2df2925108aa9a87e2f11,0,0,0,0,0,
21,20200724,KY,25931,507545,,618.0,3248.0,130.0,1125.0,,,7396.0,B,7/24/2020 00:00,2020-07-24T00:00:00Z,07/23 20:00,691.0,3248.0,2020-07-24T00:00:00Z,532160,,,24615.0,687.0,4.0,,,41959.0,,,,,,,,,,21,784,7897,533476,533476,8681,533476,7,327,077c7675157c975806ccdbab3456b32870d3b459,0,0,0,0,0,
