,date,state,positive,negative,pending,hospitalizedCurrently,hospitalizedCumulative,inIcuCurrently,inIcuCumulative,onVentilatorCurrently,onVentilatorCumulative,recovered,dataQualityGrade,lastUpdateEt,dateModified,checkTimeEt,death,hospitalized,dateChecked,totalTestsViral,positiveTestsViral,negativeTestsViral,positiveCasesViral,deathConfirmed,deathProbable,fips,positiveIncrease,negativeIncrease,total,totalTestResults,totalTestResultsIncrease,posNeg,deathIncrease,hospitalizedIncrease,hash,commercialScore,negativeRegularScore,negativeScore,positiveScore,score,grade
0,20200713,NM,15028,403329,,170.0,2204.0,,,,,6322.0,B,7/12/2020 17:30,2020-07-12T17:30:00Z,07/12 13:30,545.0,2204.0,2020-07-12T17:30:00Z,,,,15028.0,,,35,255,7348,418357,418357,7603,418357,2,17,e1a30ed94cb41a2ceae90fa27437f06df122618a,0,0,0,0,0,
1,20200712,NM,14773,395981,,158.0,2187.0,,,,,6271.0,B,7/11/2020 18:21,2020-07-11T18:21:00Z,07/11 14:21,543.0,2187.0,2020-07-11T18:21:00Z,,,,14773.0,,,35,224,6949,410754,410754,7173,410754,4,26,65c160755401f4208245d43aa7288c455e8c267c,0,0,0,0,0,
2,20200711,NM,14549,389032,,151.0,2161.0,,,,,6181.0,B,7/10/2020 18:17,2020-07-10T18:17:00Z,07/10 14:17,539.0,2161.0,2020-07-10T18:17:00Z,,,,14549.0,,,35,298,7402,403581,403581,7700,403581,6,24,dbbe5082ff99d6388a7802beb8cfb3b51709085e,0,0,0,0,0,
3,20200710,NM,14251,381630,,154.0,2137.0,,,,,6118.0,B,7/9/2020 18:10,2020-07-09T18:10:00Z,07/09 14:10,533.0,2137.0,2020-07-09T18:10:00Z,,,,14251.0,,,35,234,5960,395881,395881,6194,395881,6,36,00b95de261da61b1dff9df9902e587a23e0f7b39,0,0,0,0,0,
4,20200709,NM,14017,375670,,154.0,2101.0,,,,,6051.0,B,7/8/2020 17:41,2020-07-08T17:41:00Z,07/08 13:41,527.0,2101.0,2020-07-08T17:41:00Z,,,,14017.0,,,35,290,4155,389687,389687,4445,389687,8,45,a5dfe52cbe847320b9d935a716004f7fd3768525,0,0,0,0,0,
5,20200708,NM,13727,371515,,133.0,2056.0,,,,,5986.0,B,7/7/2020 17:46,2020-07-07T17:46:00Z,07/07 13:46,519.0,2056.0,2020-07-07T17:46:00Z,,,,13727.0,,,35,220,4782,385242,385242,5002,385242,4,23,620556076e7355e73a90495025a0f12f3dfa294e,0,0,0,0,0,
6,20200707,NM,13507,366733,,129.0,2033.0,,,,,5902.0,B,7/6/2020 17:33,2020-07-06T17:33:00Z,07/06 13:33,515.0,2033.0,2020-07-06T17:33:00Z,,,,13507.0,,,35,251,4935,380240,380240,5186,380240,2,27,aa67921b48225578846ab2556e519b5c364bfeb4,0,0,0,0,0,
7,20200706,NM,13256,361798,,119.0,2006.0,,,,,5860.0,B,7/5/2020 17:00,2020-07-05T17:00:00Z,07/05 13:00,513.0,2006.0,2020-07-05T17:00:00Z,,,,13256.0,,,35,193,2573,375054,375054,2766,375054,0,18,32586f53b26d80b39345ed38230eba15e9cd8c94,0,0,0,0,0,
8,20200705,NM,13063,359225,,121.0,1988.0,,,,,5845.0,B,7/4/2020 17:00,2020-07-04T17:00:00Z,07/04 13:00,513.0,1988.0,2020-07-04T17:00:00Z,,,,13063.0,,,35,287,8627,372288,372288,8914,372288,2,18,0d5cc84f709a80065109821843172da8a59201e8,0,0,0,0,0,
9,20200704,NM,12776,350598,,130.0,1970.0,,,,,5802.0,B,7/3/2020 19:30,2020-07-03T19:30:00Z,07/03 15:30,511.0,1970.0,2020-07-03T19:30:00Z,,,,12776.0,,,35,256,6481,363374,363374,6737,363374,8,25,667606b4d570db81ac362c18d2368dfd225fa3c5,0,0,0,0,0,
10,20200703,NM,12520,344117,,127.0,1945.0,,,,,5627.0,B,7/2/2020 17:50,2020-07-02T17:50:00Z,07/02 13:50,503.0,1945.0,2020-07-02T17:50:00Z,,,,12520.0,,,35,244,6333,356637,356637,6577,356637,3,17,157eb6dd882e0dc173a0b004bf7181b675072ba7,0,0,0,0,0,
11,20200702,NM,12276,337784,,127.0,1928.0,,,,,5514.0,B,7/1/2020 17:50,2020-07-01T17:50:00Z,07/01 13:50,500.0,1928.0,2020-07-01T17:50:00Z,,,,12276.0,,,35,129,5750,350060,350060,5879,350060,3,26,bc4538c92cab041e1a2ca5a47b14eb13d410463a,0,0,0,0,0,
12,20200701,NM,12147,332034,,127.0,1902.0,,,,,5393.0,B,6/30/2020 17:50,2020-06-30T17:50:00Z,06/30 13:50,497.0,1902.0,2020-06-30T17:50:00Z,,,,12147.0,,,35,165,6296,344181,344181,6461,344181,4,26,1383758415efe69d8577d7e87d8c8ea935ff6d69,0,0,0,0,0,
13,20200630,NM,11982,325738,,119.0,1876.0,,,,,5296.0,B,6/29/2020 17:30,2020-06-29T17:30:00Z,06/29 13:30,493.0,1876.0,2020-06-29T17:30:00Z,,,,11982.0,,,35,173,6499,337720,337720,6672,337720,1,11,25873c218b00ebf02d228e751a2cc55f6b756fbf,0,0,0,0,0,
14,20200629,NM,11809,319239,,114.0,1865.0,,,,,5264.0,B,6/29/2020 11:02,2020-06-29T11:02:00Z,06/29 07:02,492.0,1865.0,2020-06-29T11:02:00Z,,,,11809.0,,,35,190,7899,331048,331048,8089,331048,1,14,4e0992cac9906d31e7481ebda048cb060cfbae73,0,0,0,0,0,
15,20200628,NM,11619,311340,,122.0,1851.0,,,,,5251.0,B,6/27/2020 18:41,2020-06-27T18:41:00Z,06/27 14:41,491.0,1851.0,2020-06-27T18:41:00Z,,,,11619.0,,,35,211,2110,322959,322959,2321,322959,2,23,32feefa32e7754a28824aed81ee8c587053e081e,0,0,0,0,0,
16,20200627,NM,11408,309230,,128.0,1828.0,,,,,5149.0,B,6/26/2020 17:50,2020-06-26T17:50:00Z,06/26 13:50,489.0,1828.0,2020-06-26T17:50:00Z,,,,11408.0,,,35,216,5752,320638,320638,5968,320638,4,17,87df819a0959af20e3bbdd835315c9b763b330a5,0,0,0,0,0,
17,20200626,NM,11192,303478,,135.0,1811.0,,,,,5047.0,B,6/25/2020 17:16,2020-06-25T17:16:00Z,06/25 13:16,485.0,1811.0,2020-06-25T17:16:00Z,,,,11192.0,,,35,202,6363,314670,314670,6565,314670,5,18,70dee7d51c6d3f58553b185985252467dc67db5e,0,0,0,0,0,
18,20200625,NM,10990,297115,,149.0,1793.0,,,,,4984.0,B,6/24/2020 17:50,2020-06-24T17:50:00Z,06/24 13:50,480.0,1793.0,2020-06-24T17:50:00Z,,,,10990.0,,,35,152,5870,308105,308105,6022,308105,4,17,5990549fd9bc4a9b2e00453542ea30bf0a2ddcfd,0,0,0,0,0,
19,20200624,NM,10838,291245,,141.0,1776.0,,,,,4874.0,B,6/23/2020 17:50,2020-06-23T17:50:00Z,06/23 13:50,476.0,1776.0,2020-06-23T17:50:00Z,,,,10838.0,,,35,144,3863,302083,302083,4007,302083,7,22,2f75e83af6e46c2de4c3a65cfcd3e5c1c022f09c,0,0,0,0,0,
20,20200623,NM,10694,287382,,139.0,1754.0,,,,,4742.0,C,6/22/2020 17:54,2020-06-22T17:54:00Z,06/22 13:54,469.0,1754.0,2020-06-22T17:54:00Z,,,,10694.0,,,35,129,4516,298076,298076,4645,298076,0,8,edd7f0e51583cd32e63a670a721e2ca579545751,0,0,0,0,0,
21,20200622,NM,10565,282866,,134.0,1746.0,,,,,4684.0,C,6/21/2020 17:01,2020-06-21T17:01:00Z,06/21 13:01,469.0,1746.0,2020-06-21T17:01:00Z,,,,10565.0,,,35,0,0,293431,293431,0,293431,0,0,cf848a38dd7cfa3ae32a7dea64bb0d1059641514,0,0,0,0,0,
22,20200621,NM,10565,282866,,134.0,1746.0,,,,,4684.0,C,6/20/2020 18:01,2020-06-20T18:01:00Z,06/20 14:01,469.0,1746.0,2020-06-20T18:01:00Z,,,,10565.0,,,35,305,8524,293431,293431,8829,293431,5,11,9433e9e4ba12799583f8dfc96ab470c45af994bb,0,0,0,0,0,
23,20200620,NM,10260,274342,,147.0,1735.0,,,,,4512.0,C,6/19/2020 19:45,2020-06-19T19:45:00Z,06/19 15:45,464.0,1735.0,2020-06-19T19:45:00Z,,,,10260.0,,,35,107,4320,284602,284602,4427,284602,8,9,7788096bf65af6237068dbe91b4fc8b498337be3,0,0,0,0,0,
24,20200619,NM,10153,270022,,157.0,1726.0,,,,,4439.0,C,6/19/2020 13:41,2020-06-19T13:41:00Z,06/19 09:41,456.0,1726.0,2020-06-19T13:41:00Z,,,,10153.0,,,35,88,4190,280175,280175,4278,280175,4,11,586f7888e3a085ab9834ac02e090b3e4212fc4cd,0,0,0,0,0,
25,20200618,NM,10065,265832,,161.0,1715.0,,,,,4351.0,C,6/17/2020 18:45,2020-06-17T18:45:00Z,06/17 14:45,452.0,1715.0,2020-06-17T18:45:00Z,,,,10065.0,,,35,132,4212,275897,275897,4344,275897,5,17,b9a481321f9efc3cec0d518d9ba399bf3f2ae058,0,0,0,0,0,
26,20200617,NM,9933,261620,,156.0,1698.0,,,,,4217.0,C,6/16/2020 17:51,2020-06-16T17:51:00Z,06/16 13:51,447.0,1698.0,2020-06-16T17:51:00Z,,,,9933.0,,,35,88,3544,271553,271553,3632,271553,7,12,ddb873475736a395d02ff078e3b67618c1e16f06,0,0,0,0,0,
27,20200616,NM,9845,258076,,161.0,1686.0,,,,,4160.0,C,6/16/2020 10:58,2020-06-16T10:58:00Z,06/16 06:58,440.0,1686.0,2020-06-16T10:58:00Z,,,,9845.0,,,35,122,4134,267921,267921,4256,267921,5,61,0e97493815d8450c4814e9eb35cbd391e44f231f,0,0,0,0,0,
28,20200615,NM,9723,253942,,162.0,1625.0,,,,,4114.0,C,6/14/2020 18:03,2020-06-14T18:03:00Z,06/14 14:03,435.0,1625.0,2020-06-14T18:03:00Z,,,,9723.0,,,35,102,4569,263665,263665,4671,263665,4,0,026be9f5c111e33c4aa424a378c70120d9a4591e,0,0,0,0,0,
29,20200614,NM,9621,249373,,172.0,1625.0,,,,,4072.0,C,6/13/2020 18:03,2020-06-13T18:03:00Z,06/13 14:03,431.0,1625.0,2020-06-13T18:03:00Z,,,,9621.0,,,35,95,3615,258994,258994,3710,258994,5,0,f8a85a0b5c616b6cea277d339a9f8e94196f7c8a,0,0,0,0,0,
30,20200613,NM,9526,245758,,179.0,1625.0,,,,,3983.0,C,6/12/2020 17:30,2020-06-12T17:30:00Z,06/12 13:30,426.0,1625.0,2020-06-12T17:30:00Z,,,,9526.0,,,35,0,0,255284,255284,0,255284,0,0,2e6939ad11805919f1c7de90ef736da9b776b8d0,0,0,0,0,0,
31,20200612,NM,9526,245758,,179.0,1625.0,,,,,3983.0,C,6/12/2020 17:30,2020-06-12T17:30:00Z,06/12 13:30,426.0,1625.0,2020-06-12T17:30:00Z,,,,9526.0,,,35,276,9451,255284,255284,9727,255284,16,42,99ba362703cb2ace072a027005c0d2eaf99afb9e,0,0,0,0,0,
32,20200611,NM,9250,236307,,197.0,1583.0,,,,,3806.0,C,6/10/2020 18:00,2020-06-10T18:00:00Z,06/10 14:00,410.0,1583.0,2020-06-10T18:00:00Z,,,,9250.0,,,35,145,3755,245557,245557,3900,245557,6,0,e4692ae3ba0a200777ec6df8d892ec15e5eea3f0,0,0,0,0,0,
33,20200610,NM,9105,232552,,193.0,1583.0,,,,,3699.0,C,6/9/2020 17:51,2020-06-09T17:51:00Z,06/09 13:51,404.0,1583.0,2020-06-09T17:51:00Z,,,,9105.0,,,35,43,2813,241657,241657,2856,241657,4,25,419ad5281e8554af2872f02105f930962c69406b,0,0,0,0,0,
34,20200609,NM,9062,229739,,183.0,1558.0,,,,,3380.0,C,6/8/2020 17:51,2020-06-08T17:51:00Z,06/08 13:51,400.0,1558.0,2020-06-08T17:51:00Z,,,,9062.0,,,35,122,4304,238801,238801,4426,238801,4,25,ea82aeb94ddbf48ba248750b85d8010856886ab3,0,0,0,0,0,
